word,label,x,y
perspektiivitum,0,-17.8384265699,-7.6218446298
vähetõenäolisem,0,-9.7010361643,-2.5487095939
mannetum,0,-3.6159681665,-13.8994638115
igapäevasem,0,-14.3262885871,2.0460997313
imetlusväärsem,0,-12.895090359100001,-7.927955071299999
hirmsam,0,-21.8439735164,1.4787519094
isepäisem,0,9.245579875399999,-8.312651666599999
ruudulisem,0,56.9273629205,-21.291786178800002
kompromissitum,0,4.9616641265,-14.6942188277
egoistlikum,0,24.0179862775,-12.9413374777
põhjapanevam,0,-24.728366930500002,2.1534071453
keskmisem,0,-37.0092175317,-0.032387200299999995
lõunapoolsem,0,-39.9897146268,-0.1742426157
sagedam,0,12.2213009354,-4.1624274505
heldekäelisem,0,28.336867898,18.9474266621
tavalisem,0,-37.9061508006,1.0945999229
täiustatum,0,57.081727891599996,-22.3644635892
personaalsem,0,57.0350972647,-1.5848186556
säravam,0,-12.3389463128,-5.8129034566
lugupeetavam,0,-28.19105400110001,6.858347192899999
modernsem,0,-3.4089863406,5.9039645739
koledam,0,-18.232711621500002,-1.2642059012
ettevõtjasõbralikum,0,21.1700744222,-4.2537358512
mängitavam,0,-5.6751807446,15.8490175122
rabedam,0,36.5984590177,4.2646964715
kergemeelsem,0,-3.0283746636,-9.178935464
pessimistlikum,0,-0.172505784,-1.926889689
rahvuslikum,0,-11.218642436400001,4.6908020266
pühendunum,0,-26.9412484556,-1.4095663545
võimekam,0,-6.5143414091,-0.3172052608
pinnalisem,0,13.2091642157,5.556451610599999
erinevam,0,-36.175139523,1.033069176
kohmakam,0,24.1791331778,9.536175157799999
universaalsem,0,-6.904906613,-5.9753924973000005
sobilikum,0,-37.3116370896,1.680362871
vastutustundetum,0,-9.1394053455,-10.9396587308
odavam,0,10.832121902699999,4.7823811725
talitsetum,0,54.0915841036,-5.680593205499999
tehnilisem,0,33.5265342808,0.0960374159
omapärasem,0,-36.7154621286,-1.0115466673
hellem,0,-32.5808094304,-4.3697753631
lopsakam,0,30.581884011,-7.902692015
isemeelsem,0,52.2785442357,-5.8264207127
religioossem,0,11.5877291866,-6.8873001973
keskendunum,0,56.0628027395,24.1330358909
rangem,0,23.6578556754,0.9739013095
tavatum,0,20.5120402035,-11.430395402
räbalam,0,60.2845344578,45.242276493599995
positiivsem,0,-5.192590790400001,0.232156501
viletsam,0,3.0895122757,-0.1219684977
metsikum,0,-9.1321938363,-2.8373840216
koostööaltim,0,42.95589937020001,33.244923999099996
sajusem,0,3.6428257139,-2.7260529356
kurnatum,0,51.1794438017,-4.6192306196
kaugem,0,0.9604881229,-2.6726315569
intuitiivsem,0,58.4285279106,21.721849599699997
aktuaalsem,0,22.1527356532,-9.7610583074
pakilisem,0,-15.747654793099999,9.033000298300001
kohevam,0,53.0668925413,-4.9457468112
jahmatavam,0,-4.343502055,-20.179411046400002
sõnakam,0,4.9111301031,11.0105215452
töntsim,0,52.1898586418,-5.3092650442
kasutajasõbralikum,0,31.0729071288,15.986052591099998
rahvalikum,0,13.8318355465,2.7610358893
